Museum_Name,Address,City,State,PIN_Code,Opening_Hours,Closing_Hours,Contact_Email,Phone_Number,Full_Address,Latitude,Longitude
National Museum,Janpath,New Delhi,Delhi,110011,10:00 AM,6:00 PM,nationalmuseumindia@gmail.com,+91-11-23019272,"Janpath, New Delhi, Delhi, 110011",28.6077161,77.2179713
Indian Museum,27 Jawaharlal Nehru Rd,Kolkata,West Bengal,700016,10:00 AM,5:00 PM,indianmuseum@gmail.com,+91-33-22862883,"27 Jawaharlal Nehru Rd, Kolkata, West Bengal, 700016",22.557815,88.3511674
Salar Jung Museum,Salar Jung Road,Hyderabad,Telangana,500002,10:00 AM,5:00 PM,salarjungmuseum@gmail.com,+91-40-24523211,"Salar Jung Road, Hyderabad, Telangana, 500002",17.3718025,78.4795975
National Gallery of Modern Art,Sir Cowasji Jahangir Public Hall,Mumbai,Maharashtra,400032,11:00 AM,6:00 PM,ngma.mumbai@gmail.com,+91-22-22881969,"Sir Cowasji Jahangir Public Hall, Mumbai, Maharashtra, 400032",18.9257572,72.8314809
Government Museum,Pantheon Road,Chennai,Tamil Nadu,600008,9:30 AM,5:00 PM,govtmuseumchennai@gmail.com,+91-44-28193238,"Pantheon Road, Chennai, Tamil Nadu, 600008",13.0721938,80.2598699
Calico Museum of Textiles,Sarabhai Foundation,Ahmedabad,Gujarat,380004,10:30 AM,5:30 PM,info@calicomuseum.org,+91-79-27546172,"Sarabhai Foundation, Ahmedabad, Gujarat, 380004",23.0560932,72.5961666
Napier Museum,LMS Vellayambalam Rd,Thiruvananthapuram,Kerala,695033,10:00 AM,5:00 PM,napiermuseum@kerala.gov.in,+91-471-2315342,"LMS Vellayambalam Rd, Thiruvananthapuram, Kerala, 695033",8.5090834,76.9565984
Albert Hall Museum,Ram Niwas Garden,Jaipur,Rajasthan,302004,9:00 AM,5:30 PM,alberthalljaipur@gmail.com,+91-141-2570099,"Ram Niwas Garden, Jaipur, Rajasthan, 302004",26.9134178,75.82071069999999
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,159-161 Mahatma Gandhi Road,Mumbai,Maharashtra,400023,10:15 AM,6:00 PM,csmvsmumbai@gmail.com,+91-22-22844484,"159-161 Mahatma Gandhi Road, Mumbai, Maharashtra, 400023",18.9270318,72.83236699999999
National Rail Museum,Chanakyapuri,New Delhi,Delhi,110021,9:30 AM,5:30 PM,nrm.india@gmail.com,+91-11-26881816,"Chanakyapuri, New Delhi, Delhi, 110021",28.5972383,77.1904041
Archaeological Museum,Hill Fort Road,Hyderabad,Telangana,500063,10:00 AM,5:00 PM,archaeologicalmuseumhyd@gmail.com,+91-40-24732341,"Hill Fort Road, Hyderabad, Telangana, 500063",17.4043861,78.4724227
Victoria Memorial Hall,1 Queen's Way,Kolkata,West Bengal,700071,10:00 AM,5:00 PM,victoriamemorial@gmail.com,+91-33-22223929,"1 Queen's Way, Kolkata, West Bengal, 700071",22.5459609,88.3478494
